GAME_DATE,GAME_ID,MATCHUP,HOME_TEAM,AWAY_TEAM,HOME_PREV_SEAS_WIN_PERC,HOME_PREV_SEAS_AVG_PTS_PER_GAME,HOME_PREV_SEAS_FG_PERC,HOME_PREV_SEAS_THREE_PERC,HOME_PREV_SEAS_FREE_THROW_PERC,HOME_PREV_SEAS_PLUS_MINUS,AWAY_PREV_SEAS_WIN_PERC,AWAY_PREV_SEAS_AVG_PTS_PER_GAME,AWAY_PREV_SEAS_FG_PERC,AWAY_PREV_SEAS_THREE_PERC,AWAY_PREV_SEAS_FREE_THROW_PERC,AWAY_PREV_SEAS_PLUS_MINUS,HOME_WIN
11/18/2013,21300152,DEN @ OKC,OKC,DEN,0.732,105.7,48.1,37.7,82.8,9.2,0.695,106.1,47.8,34.3,70.1,5.1,1
11/18/2013,21300150,POR @ BKN,BKN,POR,0.598,96.9,45,35.7,73.1,1.8,0.402,97.5,44.8,35.3,77.6,-3.2,0
11/18/2013,21300153,PHI @ DAL,DAL,PHI,0.5,101.1,46.2,37.2,79.3,-0.6,0.415,93.2,44.4,36,72.9,-3.3,1
11/18/2013,21300154,GSW @ UTA,UTA,GSW,0.524,98,45.4,36.6,76.4,-0.1,0.573,101.2,45.8,40.3,79,0.9,0
11/18/2013,21300151,CHA @ CHI,CHI,CHA,0.549,93.2,43.7,35.3,77.3,0.3,0.256,93.4,42.5,33.5,75,-9.2,1
11/19/2013,21300160,PHX @ SAC,SAC,PHX,0.341,100.2,44.7,36.3,76.9,-4.9,0.305,95.2,44.3,33,74.4,-6.5,1
11/19/2013,21300156,MIN @ WAS,WAS,MIN,0.354,93.2,43.5,36.5,73.3,-2.5,0.378,95.7,43.9,30.5,74.2,-2.4,1
11/19/2013,21300159,BOS @ HOU,HOU,BOS,0.549,106,46.1,36.6,75.4,3.5,0.506,96.5,46.5,35.8,77.6,-0.2,1
11/19/2013,21300157,NYK @ DET,DET,NYK,0.354,94.9,44.9,35.6,69.9,-4,0.659,100,44.8,37.6,75.9,4.2,1
11/19/2013,21300158,ATL @ MIA,MIA,ATL,0.805,102.9,49.6,39.6,75.4,7.9,0.537,98,46.4,37.1,71.5,0.4,1
